59280.7,59318,59172,59197.1
59197.1,59197.1,59062,59106
59106,59146,59106,59146
59146,59159,59102.2,59113.3
59113.3,59204.3,59100,59198
59198,59258.1,59168,59210
59210,59274,59200,59274
59274,59292,59236,59242
59242,59300,59200,59266
59266,59373.5,59259.2,59359.9
59359.9,59457,59346.5,59391.3
59391.3,59400,59308,59349.7
59349.7,59350,59320.7,59340
59340,59340,59288,59310.4
59310.4,59376.5,59272.2,59272.2
59272.2,59296,59251.3,59292
59292,59357.3,59289.4,59332.2
59332.2,59332.2,59192.1,59240.9
59240.9,59298.3,59154,59174
59174,59198,59150,59198
59198,59204.4,59126.4,59172.8
59172.8,59200,59168,59188.4
59188.4,59203.3,59150,59150
59150,59187.5,59135.5,59144.6
59144.6,59156,59132.7,59154.3
59154.3,59156,59012,59012
59012,59049.3,58940.7,58953.6
58953.6,58984.7,58911.1,58952.1
58952.1,58974,58868,58868
58868,58880,58692,58776
58776,58810.5,58748.7,58791.2
58791.2,58834.8,58655,58655
58655,58726.2,58534.3,58637.3
58637.3,58700,58620,58700
58700,58700,58618,58685.5
58685.5,58775.4,58685.5,58736
58736,58772.7,58729.3,58755.8
58755.8,58788,58658.1,58682.8
58682.8,58693.7,58600,58666.5
58666.5,58687.8,58622.5,58681
58681,58730,58639.7,58668
58668,58808,58638,58808
58807.6,58823.9,58740,58740
58740,58743.6,58648.2,58743.6
58743.6,58754,58678.1,58712
58712,58742.7,58689.7,58689.7
58689.7,58774.8,58670,58768
58768,58804.7,58728.6,58728.6
58728.6,58775.1,58723.2,58768.7
58768.6,58779.8,58663.3,58747.8
58747.8,58814,58732,58732
58732,58748.5,58697.5,58700.1
58700.1,58723.4,58692,58700.6
58700.6,58700.6,58600,58600
58600,58680,58600,58620
58620,58656,58500,58592
58592,58654.8,58550.9,58618
58618,58742,58610,58739.4
58739.4,58744.1,58678.7,58698.7
58698.7,58814,58698.7,58807
58807,58984,58802,58974
58974,58992,58896.8,58946
58946,59092,58944,59011
59011,59018,58950,58956
58956,59005.1,58950,58969.4
58969.4,58973.6,58905.2,58933
58933,58933,58877.1,58888
58888,58945,58886,58920
58920,58920,58859.9,58868
58868,58890,58825.6,58883.8
58883.8,58962.6,58850,58906
58906,58954,58871.1,58954
58954,58973.8,58942,58944.6
58944.6,58948.5,58878,58914
58914,58914,58853.1,58874
58874,58874,58754,58757.4
58757.4,58776.8,58700,58776.8
58776.8,58798,58752.8,58752.9
58752.9,58754,58665.3,58745.2
58745.2,58756,58704,58723.4
58723.4,58730,58690.5,58708
58708,58722.5,58624,58624
